연번,지역,사업체명,대표자 성명,본사소재지,주생산품,주소,홈페이지
1099,전주,전북 외식산업,강철,전북,도시락,전주시완산구외칠봉1길27-7,www.jbfood.co.kr
1100,전주,대흥기계,최창주,전북,일반기계수리,전주시덕진구서귀로18,
1101,전주,부원상사,허명욱,전북,건설기계부품,전주시덕진구팔복로251-5,
1102,전주,제일기계산업,송재현,전북,"유압실린더,기계부품",전주시덕진구원만성로134,
1103,전주,명성기어정밀,육종길,전북,"기어가공,선반밀링용접",전주시덕진구원만성로21-13,
1104,전주,경일화학공업사,정수만,전북,플라스틱필름,전주시덕진구추천로25-1,
1105,전주,송학산업,남숙자,전북,"식품포장용 비닐, 주사기 포장 비닐",전주시덕진구서귀로180-4,
1106,전주,중앙전기,전기연,전북,"수배전반,계장제어반",전주시덕진구추천로19,
1107,전주,금호기계,김탑수,전북,금선별기,전주시덕진구구렛들3길49,www.kumho26.co.kr
1108,전주,전주화학,임주,전북,ps재생원료스티로폼,전주시덕진구팔과정로194,
1109,전주,경인산업,이경인,전북,기계제작,전주시덕진구구렛들1길46,
1110,전주,수지산업,강재수,전북,산업용기계수리,"전주시덕진구추천1길19-4,203호",
1111,전주,동양화학,이성곤,전북,"플라스틱 선, 봉, 관, 호스",전주시덕진구팔복5길41-14,
1112,전주,경동전기제작소,박철용,전북,"배전반, 자동제어반",전주시덕진구반암3길31,
1113,전주,신성기계공업사,배근혁,전북,곡물가공도정기기,전주시덕진구구렛들3길59,
1114,전주,제일기계,조영규,전북,산업용기계,전주시덕진구감수길30-74,
1115,전주,그린씨앤비환경,조정래,전북,"플라스틱제품,폐수처리기",전주시덕진구하오신봉길13-11,
1116,전주,호남목공건축인테리어,홍경철,전북,건축용나무제품,전주시덕진구인후3길17,
1117,전주,다올섬유,이광재,전북,등산용품,전주시덕진구여산로130-10,hangtalk.co.kr
1118,전주,대한셔터 방화문,이원용,전북,"방화문,금속문,셔터",전주시덕진구동부대로722-40,
1119,전주,태흥애드,이강군,전북,간판광고물,전주시덕진구원산정길121,
1120,전주,전북 인쇄산업,심원보,전북,"봉투,인쇄물",전주시완산구충경로125-14,
1121,전주,장한실업,장명호,전북,유아복임가공,전주시덕진구송천로36,
1122,전주,청송포장,김옥자,전북,골판지상자,전주시덕진구팔복로251-17,
1123,전주,삼성산업,김연성,전북,"벽,바닥피복용 플라스틱",전주시덕진구감수길10-10,
1124,전주,대창목재공업사,정일봉,전북,목재가구,전주시덕진구원산정길32,
1125,전주,우일제재소,김남식,전북,제재업,전주시덕진구팔과정로219-14,
1126,전주,영진화학,이영선,전북,"농업용비닐,공업용비닐",전주시덕진구비석날로30,
1127,전주,유진산업,김광연,전북,"SH온돌파이프,PP-L수도파이프",전주시덕진구감수길30-70,
1128,전주,금광산업,김광선,전북,가공공작기계부품,전주시덕진구유제로46,
1129,전주,제원산업,이종만,전북,금속절단절곡,전주시덕진구신흥안길54,
1130,전주,거문예석,임동옥,전북,석제품(조형물),전주시덕진구온고을로533,
1131,전주,세진기계,박세휴,전북,"자동계량포장지,로봇팔렛타이징시스템",전주시덕진구원화전1길57-24,www.sejin94.com
1132,전주,종합샤링,박호수,전북,철구조물,전주시덕진구쪽구름2길41,
1133,전주,대건벤딩산업,김희관,전북,"벤딩철물,제관",전주시덕진구신복천변로33,
1134,전주,㈜삼양사(전주공장),강호성,서울,엔지니어링플라스틱,전주시덕진구팔복로147,samyangcorp.com
1135,전주,㈜동방,"최상열,최규현",전북,"레미콘시멘트,칼라투스콘, 콘크리트,모르터르",전주시덕진구혁신로616,www.dongb.co.kr
1136,전주,(유)한풍제약,"조인식,조형권",전북,한방과립제,전주시덕진구구렛들3길11,"www.hanpoong.co,kr"
1137,전주,㈜삼호화공기계제작소,심규섭,전북,"증류기,산업보일러",전주시덕진구구렛들1길28-20,
1138,전주,삼화엔지니어링,조남훈,전북,제빙기,"전주시덕진구원망성로21-14(사무실,공장)",www.samhwaeng.com
1139,전주,(유)전주지관,김희중,전북,지관,전주시덕진구신복천변로23-10,
1140,전주,(유)동성물산,송영석,전북,"빙과류, 생과자",전주시완산구한지길38,
1141,전주,㈜대연콘크리트,"문길천,문명학",전북,"레미콘,비내화,모르터르",전주시덕진구야전1길24,"www.daye.co,kr"
1142,전주,천일제지㈜,이용제,전북,"원지,합지,판지",전주시덕진구야전1길27,www.chunilpaper.com
1143,전주,고려자연식품㈜,김정숙,전북,"벌꿀,유자차",전주시덕진구여실길34,www.dooraeone.com
1144,전주,㈜홈에디션 명진,서철훈,전북,"고무장갑,고무장화,면장갑",전주시덕진구추천로237,www.myung-jin.co.kr
1145,전주,㈜홈에디션명진,서철훈,전북,고무장갑 외,전주시덕진구기린대로762,www.myung-jin.co.kr
1146,전주,(유)동성아스귤,이영심,전북,"아스팔트제품,아스콘제조",전주시완산구전주객사3길29,
1147,전주,㈜세기종합환경,양기해,전북,"부유정화기,징검다리형수질정화기",전주시덕진구팔과정로204층403-4,www.yansegi.co.kr
1148,전주,삼화공업㈜,한기성,서울,내의잠옷,전주시덕진구기린대로800,
1149,전주,㈜대양실업,한동훈,전북,메리야스,전주시덕진구구렛들3길50,www.shipchandler.co.kr
1150,전주,(유)전주중기공업사,김재생,전북,"자동차수리,건설기계수리",전주시덕진구신행로56,
1151,전주,(유)대화중기공업사,이갑임,전북,중장비정비,전주시덕진구추천로25-13,
1152,전주,바다정수산업(주),김자순,전북,폐수처리기,전주시덕진구장동길49,www.badajs.com
1153,전주,(유)국보광고기획,송태석,전북,"간판,표구",전주시덕진구여실길24-2,
1154,전주,대신네트웍스 주식회사,왕선호,전북,CCTV통합배선반,전주시완산구천잠로472201호,www.itdsn.kr
1155,전주,(유)전주산업,박임성,전북,연탄,전주시덕진구감수길10,
1156,전주,㈜교차로,유창희,전북,오프셋인쇄업,전주시덕진구원망성로87,
1157,전주,천일페이퍼보드㈜,"이문제,이용제",전북,"합지,판지",전주시덕진구야전1길61,www.chunilpaperboard.co
1158,전주,(유)대현물산,강철형,전북,카라멜사탕 OEM,전주시덕진구동부대로804,
1159,전주,영농조합법인 한농산,홍성모,전북,"벌꿀 외, 기타",전주시덕진구여실길34,
1160,전주,㈜명도실업,이기만,전북,"근무복,작업복",전주시덕진구비석날로59-1,
1161,전주,(유)대연산업,양정숙,전북,"아스콘,재생아스콘",전주시덕진구야전1길71,
1162,전주,(유)송림지류산업,조운관,전북,"신문용지,복사용지",전주시덕진구기린대로746,
1163,전주,(유)개암이엔티,박인규,전북,건설폐기물처리,전주시덕진구서귀로150-4,
1164,전주,동화전산㈜,강창원,전북,전산용지,전주시덕진구상리로42,
1165,전주,(유)본건축 디자인,라인경,전북,전시용모형,전주시덕진구무삼지4길28,063-276-5937
1166,전주,제이씨엔㈜,강종찬,전북,"수문장치,식생매트",전주시덕진구초포로249-9,
1167,전주,(유)일광산업사,조계석,전북,냉동기,전주시덕진구권삼득로131,
1168,전주,(주)세원하드페이싱,곽찬원,전북,"플라즈마코팅, 금속표면처리, 용사분말제조",전주시덕진구서귀로183,www.sewon-hf.com
1169,전주,(유)금오안전,김영님,전북,"로드가드시스템,야생동물보호울타리",전주시덕진구추천로217-9,www.roadguard.co.kr
1170,전주,(유)금성기업,이석찬,전북,에이치빔가공품,전주시완산구춘향로5309,
1171,전주,㈜대아,이희재,전북,화공약품(수처리제),전주시덕진구추천로267,
1172,전주,㈜건국,이재수,전북,"신재생에너지,수배전계장판넬",전주시덕진구감수길30-26,
1173,전주,(유)전주건업,정종호,전북,금속구조물,전주시덕진구덕촌길29,
1174,전주,(유)서원정보통신,이용호,전북,CCTV,전주시덕진구아중천변2길9,
1175,전주,㈜호원엔지니어링,신장근,전북,"냉동기,공기조화장치","전주시덕진구백제대로603,3층",
1176,전주,㈜케미드,문재석,전북,"수처리약품,식품첨가물",전주시덕진구여산로88-8,www.kemide.co.kr
1177,전주,㈜금천,안혜경,전북,"탄성고무칩,미끄럼방지제",전주시덕진구혁신로616,www.keumchon.co.kr
1178,전주,(유)전주원파워,장만천,전북,전기생산발전업,전주시덕진구팔복로59,www.jeonjuonepower.com
1179,전주,㈜태성알앤피,박상래,전북,펄프종이,전주시덕진구용신길86,
1180,전주,㈜에이.비.아이,김우현,전북,"철분제,아미노산","전주시완산구홍산중앙로13,401호",
1181,전주,㈜천우에스엔씨,김용배,전북,"건축용철골,운반기계,산업기계",전주시덕진구신복로34-24,
1182,전주,㈜씨앤씨어패럴(본사),이운영,전북,"속옷,잠옷",전주시덕진구기린대로739,
1183,전주,㈜씨앤씨어패럴(지점),이운영,전북,내의,전주시덕진구구렛들3길26-5,
1184,전주,㈜ 진웅,배영수,전북,산업용세척제,전주시덕진구추천로25-7,jinung.co.kr
1185,전주,(유)무지개광고조명,윤호,전북,"간판,광고물",전주시완산구팔달로60,
1186,전주,(유)한샘기업,진기하,전북,"창호공사,철물금속제품","전주시덕진구명주5길11,1층174호",
1187,전주,㈜한진기획광고개발,이운교,전북,간판광고물,"전주시덕진구추천로111-,1층",
1188,전주,㈜지로드,김철성,전북,디자인울타리형,전주시덕진구덕촌길43,www.지로드.kr
1189,전주,아주메딕스㈜,김재수,전북,닥터맥스,전주시덕진구구렛들3길50,
1190,전주,주식회사 제이앤지-본사,박종우,전북,열펌프자동제어,전주시완산구쑥고개로208,www.jngpower.co.kr
1191,전주,㈜하이엠시,김기열,전북,경질합금,전주시덕진구유상로31-4,www.himcltd.co.kr
1192,전주,㈜캠스텍,김형곤,전북,농업 임업용 기게제조,전주시덕진구상리1길20,www.camstech.co.kr
1193,전주,주식회사 전주판넬,오명호,전북,샌트위치판넬,전주시덕진구반월로11,
1194,전주,(유)이오엠자임,이재원,전북,조효소,전주시덕진구원만성로15,
1195,전주,(유)참다인,유준호,전북,한동,전주시완산구호동2길3,
1196,전주,㈜태평양 이엔지,장희숙,전북,냉동기쇼케이스,전주시덕진구동부대로1506-1,www.tpyhe.com
1197,전주,㈜나노솔루션,김형열,전북,탄소나노튜브,전주시덕진구반룡로110-11101호,www.nano-sol.com
1198,전주,㈜나비월드,이현채,전북,나비골프용품,전주시완산구고사평1길20,www.nabiworld.com
1199,전주,제논전장㈜,김은성,전북,자동차발전기용 전압조정기,전주시덕진구팔과정로20,www.genonstyle.com
1200,전주,㈜하서방식품,하석균,전북,"면류,만두,육수",전주시덕진구인교9길5,
1201,전주,㈜평화공업,허현,전북,자동차용신품부품제조업,전주시덕진구추천로47,
1202,전주,주식회사광역중기,허명욱,전북,"건설기계수리,특장차부품생산",전주시덕진구반룡로143,
1203,전주,(유)아트앤포토,신가림,전북,"앨범제작,인쇄물",전주시덕진구반룡로143-2,
1204,전주,㈜라온,황영호,전북,요실금치료기,전주시덕진구기린대로945-3,www.raon-medi.co.kr
1205,전주,㈜모리아성구사,김재호,전북,"교구,가구",전주시덕진구기린대로945-7,www.moriah.kr
1206,전주,(유)연호실업,최호형,전북,내의,전주시덕진구기린대로711,
1207,전주,대흥포장 주식회사,이주봉,전북,종이도시락 종이트레이,전주시덕진구신복천변로29,pojang.co.kr
1208,전주,유한회사 선우,박용구,전북,수배전반 자동제어판넬,전주시덕진구청복길360,
1209,전주,(유)남선정보통신,윤찬호,전북,프린터pc,전주시덕진구동부대로612,
1210,전주,㈜국제기공,박태형,전북,"조립금속,구조금속",전주시덕진구암실길8-22,kookje-eng.com/home
1211,전주,(유)엘림이엔,"고대곤,김재영",전북,재생플라스틱원료(패트병),전주시완산구정여립로655-20자원순화특화단지,
1212,전주,㈜라인인포,서암석,전북,통신장비 음향기기,전주시덕진구전주천동로422,www.lineinfo.com
1213,전주,(유)환경테크,정영식,전북,"금속탱크 여과기, 수처리기자재",전주시덕진구신복로67,
1214,전주,주식회사 나라전기,김진철,전북,수배전반 제어반분전반,전주시덕진구감수길30-7,
1215,전주,㈜유엔씨,김희선,전북,전자청진기 휴대용심전계,전주시덕진구기린대로4522층203호,unc-tech.com
1216,전주,㈜현대프린테크,전희창,전북,인쇄출력,전주시덕진구건산로2993층,
1217,전주,㈜일광창호,임정우,전북,pvc창호,전주시덕진구초포다리로41,
1218,전주,(유)엠아이알,김선일,전북,기계부품 자동차부속품,전주시덕진구여산로88-22,
1219,전주,대호무역 주식회사,고동환,전북,유아용의류,전주시덕진구기린대로6624층,
1220,전주,㈜바로텍시너지,구칠효,전북,항공우주제어장치,전주시덕진구유사로67혁신창업허브센터404호,
1221,전주,㈜카이테크,김학모,전북,"자동차부품,전자기깁부품",전주시덕진구오공로123202호,www.kaitech.kr
1222,전주,펀커뮤니케이션컨설팅㈜,소춘섭,전북,광고물 간판,전주시완산구오공로49지하1층1301호,www.funcomm.co.kr
1223,전주,(유)원일테크,변민숙,전북,"측정,시험,항해,제어,정밀기계",전주시덕진구송천3길30-28,
1224,전주,(유)거동건설,박춘우,전북,"금속판제품(난간), 금속공작물, 금속구조물",전주시덕진구신성길82,
1225,전주,㈜시너시스,정양일,전북,자동제어반,"전주시덕진구청복길360-2,1층",www.synersys.co.kr
1226,전주,(유)플라테크,황인정,전북,재활용수지(플라스틱 원료),전주시덕진구비석날로59-17,
1227,전주,(유)자연진,김종후,전북,"유아복, 아동복",전주시덕진구와룡로95-46,
1228,전주,㈜태광로드텍,최정순,전북,가로등중 가로등기구,전주시덕진구용암길52-5,tkrdt.com
1229,전주,㈜전주주조,김재익,전북,"모주, 쌀막걸리",전주시덕진구신성길25-31,jjjujo.co.kr
1230,전주,㈜우존,곽찬원,전북,디딤타일(미끄럼방지기능성),전주시덕진구서귀로183,
1231,전주,㈜서진아이티씨,김홍리,전북,"신재생에너지(태양광), 수배전반, 영상감시장치",전주시덕진구인교로62-8,
1232,전주,㈜성경실업,"김성찬, 김주희",전북,유아용내의,"전주시덕진구구렛들3길48,201호",
1233,전주,㈜우리나노,김학용,전북,나노섬유,전주시덕진구백제대로567,
1234,전주,㈜오성,이준엽,전북,"한지사, 천연섬유","전주시덕진구반룡로110,알앤디동2층",hanjisocks.co.kr
1235,전주,㈜에스제이파트너스,김민철,전북,산업포장지디자인,전주시완산구문학대4길7-1,
1236,전주,휴먼피아코스텍㈜,김양수,전북,기초화장품,전주시덕진구신복로18-6,hmpia.kr
1237,전주,㈜휴먼드림,김모경,전북,고주파피부 미용기기,"전주시덕진구팔과정로20,403-1호",humandream.co.kr
1238,전주,㈜올그린텍,박성래,전북,"철재보빈, 자동차부품, 마스크",전주시덕진구신복로21,https://allgreentec.net
1239,전주,(유)다원특장,장종욱,전북,산업기계,전주시덕진구팔복로233,
1240,전주,㈜캔두에이피,이인건,전북,"유아복, 아동복, 성인티셔츠","전주시덕진구붓내3길18-9,4층(공장)",
1241,전주,㈜메디트로닉 동준,김형진,전북,의료용기기,전주시덕진구숲정이2길26,
1242,전주,(유)신두림,김계순,전북,"교통안전시설물, 금속재울타리, 도료표지판, 광고판",전주시덕진구암실길135,
1243,전주,(유)삼성인슈판넬,김영곤,전북,"철문,금속구조제",전주시덕진구온고을로570-11,
1244,전주,(유)호비,하태옥,전북,"간판, 광고물",전주시덕진구여산로88-28,
1245,전주,㈜엘티씨,권영석,전북,항공기부품 터보기기,전주시덕진구팔복로220,HC.co.kr
1246,전주,(유)삼신테크,이규석,전북,"강화 및 재생목재, 합성목재판넬 제조업",전주시덕진구팔복로17-20,
1247,전주,㈜백제중공업,나승국,전북,연약지반건설기계,전주시덕진구신복천변3길44,
1248,전주,산들영농조합법인,김연희,전북,"곡물도정,쌀,찹쌀",전주시덕진구신성길149,
1249,전주,티에스플랜트(주),정종희,전북,H빔,전주시덕진구구렛들1길46,
1250,전주,(유)디엔지,김미자,전북,창호제작,전주시덕진구원산정길98,
1251,전주,(유)스마트서비스 공사,임성섭,전북,승강기유지보수,전주시덕진구기린대로1055,
1252,전주,㈜엠씨케이산업,이춘식,전북,여행용칫솔세트,전주시덕진구구렛들3길48,트레블세트.kr
1253,전주,㈜한국에이씨엠,고선영,전북,열경화성수지,전주시덕진구반룡로88,
1254,전주,(유)맥스,정광환,전북,자동제어반,전주시덕진구동부대로717,
1255,전주,(유)종합테크,백금녀,전북,"고정밀cnc플라즈마,절곡임가공,cnc산소절단",전주시덕진구삼례로10,jhtc.kr
1256,전주,㈜찬드림,유상현,전북,김치,전주시덕진구신성길80,chandream.com
1257,전주,㈜포토천지 ,김희순,전북,"전자액자, 전자앨범, 포토북",전주시덕진구기린대로929,opsan.co.kr
1258,전주,㈜화인텍,전현순,전북,전자부품,전주시덕진구유상로49,
1259,전주,(유)씨앤씨월드,김형구,전북,"인쇄,출판 디자인",전주시완산구기린대로152,cncpod.co.kr
1260,전주,(유)고은마트(이),고은정,전북,육가공(수입육),전주시덕진구운암로35-6,koeunmeat.com
1261,전주,㈜다오코리아,전영천,전북,운동용매트,전주시덕진구신복천변로23-11101호(공장),daokorea@co.kr
1262,전주,㈜수호전력,김병진,전북,"분전반,배전반",전주시덕진구신복로18-12,
1263,전주,(유)드림테크,김경원,전북,"cc카메라(영상,방송장치),구내방송장치","전주시완산구밤나무1길15-3,1층",
1264,전주,㈜미래전자,김상중,전북,전자기기 전자부품,전주시덕진구유상로67406호,
1265,전주,㈜에이에프에프씨,허우영,전북,시트벨트,전주시덕진구반룡로50,affc.co.kr
1266,전주,농업회사법인대천정미소㈜,백남훈,전북,곡물도정,전주시덕진구암실길120,
1267,전주,㈜천우스틸,김용배,전북,"건축용철골, 운반기계, 산업기계",전주시덕진구신복로34-24,
1268,전주,㈜에프샵,김강섭,전북,금속가구,전주시덕진구팔과정로20,
1269,전주,(주)릴라이언스,성용묵,전북,영유아복,전주시덕진구재방마을길29,
1270,전주,㈜신진에너택,박홍용,전북,냉동기기 프로스트아이,전주시덕진구하오용흥길18-7,참좋은냉장고.kr
1271,전주,(유)포디헤융,김은하,전북,"안내판,간판",전주시덕진구용정길16,
1272,전주,(유)유창,장현숙,전북,"증류기, 열교환기 및 가스발생기제조업",전주시덕진구성덕동175-18번지,
1273,전주,㈜타임캐슬,한정희 ,전북,영유아의류,전주시덕진구와룡로95-46,
1274,전주,(유)에이치케어산업,심용식,전북,창호잡철임가공(금속가공),전주시덕진구상리3길32-4,
1275,전주,(유)금호주방,심성우,전북,"금속씽크대, 작업대(주방기기)",전주시덕진구상리2길25,kh.kitchen.co.kr
1276,전주,(유)거상이엔지,김의수,전북,금속구조재(골조),전주시덕진구원화전1길57-62,
1277,전주,㈜성실,정태두,전북,섬유,전주시덕진구기랜대로868-1,www.sung-sil.com
1278,전주,㈜아이피아이,강성지,전북,금속탱크,전주시덕진구팔복로252-9,
1279,전주,(유)솔왕바이오,이계중,전북,복합비료제조,전주시완산구서신천변13길14-4,
1280,전주,㈜힉스프로,정순희,전북,"열교환기,공기조화장치 제조업",전주시덕진구구렛들2길19(팔복동1가)(공장)/전주시덕진구구렛들2길27(사무실),
1281,전주,(유)화이트산업,정병조,전북,복층유리,전주시덕진구신복천변로23-11,
1282,전주,(유)우전케이블,김태훈,전북,"절연선,케이블",전주시덕진구반룡로158-1,woojeoncable.kr
1283,전주,(유)동부금속,정윤순,전북,건축용 및 산업용 금속제품,전주시덕진구전미로213,
1284,전주,㈜바른길,소현희,전북,교통표지판안전시설물,전주시덕진구신성길82,
1285,전주,㈜이지아이,김병관,전북,전구및램프제조업(통신공사),전주시완산구효자로322(중화산동2가),www.ezeye.co.kr
1286,전주,(유)스마트코리아,문성만,전북,교통신호제어기기,전주시덕진구권삼득로379승한빌딩5층,
