업종명,업소명,소재지(도로명),소재지전화
유통전문판매업,제일상회,부산광역시 서구 구덕로295번길 18 (서대신동2가), 051- 256-8582
유통전문판매업,참손푸드(주),부산광역시 서구 원양로 171 (암남동), 051- 250-7065
유통전문판매업,희창물산(주),부산광역시 서구 충무대로 146 (남부민동),
유통전문판매업,한림푸드,부산광역시 서구 충무대로 146 (남부민동), 051- 254-2065
유통전문판매업,유명동수산(주),"부산광역시 서구 원양로 310, 702호 (암남동, 동영빌딩)",051 -231 -2727
유통전문판매업,(주)블루씨푸드,"부산광역시 서구 원양로 35, 시장회관동 602호 (암남동, 부산국제수산물도매시장)",
유통전문판매업,(주)백경마린,"부산광역시 서구 충무대로 181, 304호 (남부민동, LG마린타워)",051 -242 -5771
유통전문판매업,(주)폰토스,"부산광역시 서구 원양로 35, 시장회관동 602호 (암남동, 국제수산물도매시장)",051 -256 -7014
유통전문판매업,(주)지엔케이,"부산광역시 서구 충무대로 146, 704호 (남부민동, 희창물산)",051 -231 -1552
유통전문판매업,코미무역(주),"부산광역시 서구 원양로 35, 710호 (암남동, 국제수산물도매시장 회관동)",051 -244 -1304
유통전문판매업,대경에프앤비주식회사,부산광역시 서구 구덕로301번길 4 (서대신동2가), 051- 255-7211
유통전문판매업,수영물산(주),"부산광역시 서구 원양로 71, 1411-1호 (암남동)",051 -254 -0111
유통전문판매업,(주)강남수산,"부산광역시 서구 충무대로 181, 319호 (남부민동, LG마린타워)",051 -253 -3744
유통전문판매업,(주)정해코퍼레이션,"부산광역시 서구 원양로 105, 407호 (암남동, 원양프라자)",051 -244 -8768
유통전문판매업,(주)신해수산,"부산광역시 서구 원양로 139, 보성냉장 211호 (암남동)",051 -294 -1493
유통전문판매업,대방수산(주),"부산광역시 서구 암남공원로 218 (암남동, 대방수산(주)A동 2층)",
유통전문판매업,수협중앙회 감천항물류센터,"부산광역시 서구 원양로 119 (암남동, 수협중앙회 감천항물류센터)",051 -253 -3113
유통전문판매업,해승수산,"부산광역시 서구 충무대로 140 (남부민동, 동양냉장 406호)",051 -253 -0920
유통전문판매업,(주)비엠트레이딩,"부산광역시 서구 원양로 105 (암남동, 원양프라자 505호)",051 - 231-7354
유통전문판매업,(주)홍리물산,"부산광역시 서구 새벽시장길 35, 3층 (충무동1가)",051 -246 -0288
유통전문판매업,(주)듀로이,"부산광역시 서구 원양로 105, 415A호 (암남동)", 070-7432-0533
유통전문판매업,에프앤에프푸드시스템(주),"부산광역시 서구 원양로 1, 수산가공선진화단지 B동 612호 (암남동)",051 -714 -3821
유통전문판매업,(주)씨웨이코리아,"부산광역시 서구 충무대로 181, 308호 (남부민동, LG마린타워)",070 -4246-7074
유통전문판매업,(주)이스턴웰스,"부산광역시 서구 원양로 189, 2층 (암남동)",051 -231 -9000
유통전문판매업,블루씨수산(주),"부산광역시 서구 원양로 71, 1305-1호 (암남동, 사조씨에스)",051 -245 -1110
유통전문판매업,(주)에스디지,"부산광역시 서구 충무대로 181, 425호 (남부민동, LG마린타워)",051 -245 -2188
유통전문판매업,대형선망수산업협동조합,"부산광역시 서구 충무대로 202, 302호 (남부민동, 부산공동어시장 별관)",051 -254 -9011
유통전문판매업,(주)남궁TUNA,부산광역시 서구 원양로 90 (암남동),051 -253 -9072
유통전문판매업,동국상회,"부산광역시 서구 새벽시장길 40, 1층 (충무동1가)",051 -254 -6071
유통전문판매업,(주)락피쉬,"부산광역시 서구 원양로 1, B동 503호 (암남동, 수산가공선진화단지)",051 -717 -3386
유통전문판매업,자갈치유통,"부산광역시 서구 구덕로148번길 14 (토성동5가, 1층 일부)",051 -254 -8282
유통전문판매업,대형기선저인망 수산업협동조합,"부산광역시 서구 충무대로 202, 별관동 301호 (남부민동)",051 -250 -2442
유통전문판매업,(주)백화수산,"부산광역시 서구 원양로 35, 국제수산물도매시장 도매장동 3층 55호 (암남동)",051 -243 -8833
유통전문판매업,주식회사 어메이징팩토리,"부산광역시 서구 원양로 1, A동 2층 205호 (암남동, 수산가공선진화단지, 205호 일부)",070 -5055-1342
유통전문판매업,(주)사조대림,"부산광역시 서구 충무대로 170, 1층 (남부민동)",051 -250 -2000
유통전문판매업,(주)장수씨푸드,"부산광역시 서구 원양로 1, B동 405호 (암남동, 수산가공선진화단지)",051 -231 -7020
유통전문판매업,(주)단도글로벌,"부산광역시 서구 충무대로 181, 413호 (남부민동, LG마린타워)",051 -244 -2303
유통전문판매업,성진수산(주),부산광역시 서구 원양로 87 (암남동),051 -231 -7923
