epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,419.655,1.38723,3.09089,1.2923,0.86444,0.33855,0.34693,0.20498,1.41467,2.50428,1.38973,0.000254731,0.000254731,0.000254731
2,954.321,1.33864,2.09323,1.25674,0.88583,0.36529,0.4196,0.236,1.31295,2.19205,1.34545,0.000460469,0.000460469,0.000460469
3,1429.99,1.33114,1.73838,1.24278,0.8983,0.35225,0.45745,0.25497,1.36927,1.87898,1.41853,0.000615453,0.000615453,0.000615453
4,1830.07,1.27822,1.45727,1.21075,0.83055,0.46018,0.49811,0.29513,1.25825,1.47723,1.30726,0.000540607,0.000540607,0.000540607
5,2315.58,1.23052,1.30038,1.1843,0.65515,0.46653,0.509,0.30632,1.23273,1.38828,1.25886,0.000464476,0.000464476,0.000464476
6,2944.37,1.17171,1.16538,1.16219,0.6584,0.48719,0.5144,0.319,1.20622,1.25798,1.25289,0.000388345,0.000388345,0.000388345
7,3393.92,1.14599,1.09085,1.12997,0.68185,0.49444,0.51782,0.33192,1.16525,1.15486,1.2294,0.000312214,0.000312214,0.000312214
8,3836.62,1.09676,1.00709,1.09723,0.67142,0.50083,0.52554,0.34296,1.12272,1.09355,1.19576,0.000236083,0.000236083,0.000236083
9,4237.74,1.05963,0.95998,1.08967,0.66885,0.51718,0.54391,0.35687,1.12182,1.0215,1.20555,0.000159952,0.000159952,0.000159952
10,4635.49,1.03043,0.9245,1.0733,0.67272,0.51247,0.54511,0.36684,1.09467,0.9799,1.18997,8.3821e-05,8.3821e-05,8.3821e-05
