CTPRVN_NM,SIGNGU_NM,ADSTRD_CD,PRFPLC_CO,FOOD_FCLTY_CO,LDGMNT_FCLTY_CO,POPLTN_CO,FILE_NM,BASE_DE
인천광역시,강화군,2871025000,13,596,59,51890,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,강화군,2871031000,4,139,28,51890,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,강화군,2871033000,9,355,168,51890,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,강화군,2871034000,2,221,463,51890,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,강화군,2871036000,5,126,133,51890,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,강화군,2871037000,4,58,18,51890,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,강화군,2871038000,1,10,9,51890,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,강화군,2871039000,3,26,26,51890,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,계양구,2824560100,1,248,0,242787,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,계양구,2824561100,1,666,49,242787,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,계양구,2824561200,3,286,5,242787,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,계양구,2824561300,1,206,0,242787,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,계양구,2824561400,3,685,17,242787,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,계양구,2824562100,1,284,2,242787,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,계양구,2824564000,5,354,22,242787,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,계양구,2824571000,2,207,2,242787,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,계양구,2824572000,1,446,5,242787,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,계양구,2824573000,1,201,2,242787,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,남동구,2820051000,3,585,7,436714,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,남동구,2820052100,13,1644,25,436714,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,남동구,2820056000,1,364,1,436714,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,남동구,2820065000,2,231,1,436714,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,남동구,2820065500,1,368,0,436714,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,남동구,2820066000,1,310,0,436714,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,남동구,2820069000,1,602,25,436714,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,남동구,2820070000,1,623,12,436714,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,남동구,2820071000,6,545,1,436714,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,동구,2814051000,1,52,2,53078,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,동구,2814052500,1,106,6,53078,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,동구,2814055500,2,141,5,53078,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,동구,2814058000,1,6,0,53078,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,동구,2814063000,1,126,1,53078,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,동구,2814064000,2,45,1,53078,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817752000,2,178,23,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817753000,7,166,8,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817754000,4,629,9,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817758000,6,393,1,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817759000,1,276,0,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817760000,1,254,19,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817761000,2,473,8,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817762000,6,672,139,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817765000,4,345,6,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817768000,1,363,0,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817769000,1,270,3,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817770000,3,174,0,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,미추홀구,2817771000,6,228,1,369889,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823751000,3,680,71,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823752000,1,83,1,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823753000,3,236,4,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823754000,1,908,31,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823755000,2,910,96,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823758000,1,226,0,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823758200,1,118,3,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823759100,2,195,2,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823759200,2,533,17,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823764100,3,238,12,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823764200,1,180,2,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823764800,2,479,4,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823767000,1,131,0,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,부평구,2823769000,1,572,40,451724,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,서구,2826051500,3,501,6,482658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,서구,2826053000,3,823,34,482658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,서구,2826053600,3,956,3,482658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,서구,2826053700,3,619,4,482658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,서구,2826053900,1,253,4,482658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,서구,2826054200,3,596,2,482658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,서구,2826054400,2,25,0,482658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,서구,2826055000,1,490,50,482658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,서구,2826057500,1,495,2,482658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,서구,2826068000,1,439,9,482658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
인천광역시,서구,2826070000,1,289,3,482658,KC_624_DMSTC_MIEC_STATN_BIZAEA_2023,20231221
